symbol,side,entry,exit,pnl,reason,time
AVAX/USDT,SHORT,36.939499999999995,32.176183965172235,104.48830213988839,TP3_FULL,2024-05-13 02:45:00
NEAR/USDT,LONG,7.0985,7.253454381492604,78.62474430735045,TP1_80%,2024-05-13 21:45:00
NEAR/USDT,LONG,7.0985,7.0985,-2.083974106563268,BE_STOP,2024-05-14 06:15:00
NEAR/USDT,LONG,7.0985,7.254753593473636,101.6999155278618,TP1_80%,2024-05-14 07:00:00
NEAR/USDT,LONG,7.0985,7.0985,-2.5437460226811277,BE_STOP,2024-05-14 12:30:00
NEAR/USDT,LONG,7.0985,6.973680884604999,-108.25703238440028,STOP_LOSS,2024-05-14 14:00:00
NEAR/USDT,LONG,8.0735,8.212553380108517,78.78816506906037,TP1_80%,2024-05-17 12:45:00
WIF/USDT,SHORT,3.0888999999999998,2.9617634552030454,109.84301954156551,TP1_80%,2024-05-17 13:00:00
NEAR/USDT,LONG,8.0735,8.0735,-2.5906577410953027,BE_STOP,2024-05-17 13:15:00
LINK/USDT,LONG,15.866500000000002,16.241049916064117,88.1216654092191,TP1_80%,2024-05-17 16:45:00
WIF/USDT,SHORT,3.0888999999999998,2.71808507767555,20.659776102551685,TP2_5%,2024-05-18 12:15:00
LINK/USDT,LONG,15.866500000000002,16.958937255187003,16.888945737387534,TP2_5%,2024-05-19 15:30:00
LINK/USDT,LONG,15.866500000000002,16.241049916064117,15.451032258632376,BE_STOP,2024-05-22 12:45:00
WIF/USDT,SHORT,3.0888999999999998,2.9617634552030454,19.807477037311727,BE_STOP,2024-05-22 14:15:00
FET/USDT,LONG,2.52385,2.4409847491352132,-141.95455629906033,STOP_LOSS,2024-05-23 10:00:00
LINK/USDT,LONG,17.0995,17.559282323972763,88.34751247576558,TP1_80%,2024-05-26 02:30:00
LINK/USDT,LONG,17.0995,17.0995,-2.347578426921193,BE_STOP,2024-05-26 15:45:00
WIF/USDT,LONG,3.28895,3.1984103047307784,-140.1171243338933,STOP_LOSS,2024-05-28 04:45:00
SUI/USDT,SHORT,1.0255999999999998,1.0085962989622828,82.51885984254803,TP1_80%,2024-05-31 05:15:00
SUI/USDT,SHORT,1.0255999999999998,1.0255999999999998,-3.2959735801663688,BE_STOP,2024-05-31 13:30:00
TIA/USDT,SHORT,8.99655,8.707381554744504,138.10808956361836,TP1_80%,2024-06-12 13:15:00
TIA/USDT,SHORT,8.99655,8.99655,-2.2885059933344367,BE_STOP,2024-06-12 17:45:00
BCH/USDT,SHORT,418.24,423.899367696075,-123.60674205766949,STOP_LOSS,2024-06-17 17:30:00
WIF/USDT,SHORT,2.3930499999999997,2.4534683113238143,-110.88602160818334,STOP_LOSS,2024-06-17 18:15:00
AVAX/USDT,SHORT,29.48,29.007834920616947,82.60805955753827,TP1_80%,2024-06-17 21:45:00
AVAX/USDT,SHORT,29.48,28.102851851799432,16.469169208909975,TP2_5%,2024-06-18 00:45:00
AVAX/USDT,SHORT,29.48,26.725703703598864,101.02261093495622,TP3_FULL,2024-06-18 01:45:00
DOT/USDT,SHORT,5.774,5.8608652277889455,-120.4475684716004,STOP_LOSS,2024-06-19 01:15:00
TIA/USDT,SHORT,6.4321,6.55816138901378,-111.85157657152793,STOP_LOSS,2024-06-19 01:30:00
WIF/USDT,SHORT,1.8450000000000002,1.7634224187444476,88.93522874634056,TP1_80%,2024-06-22 05:00:00
WIF/USDT,SHORT,1.8450000000000002,1.6070653880046386,16.663740053491164,TP2_5%,2024-06-23 16:45:00
SUI/USDT,SHORT,0.8642,0.8445247302647899,110.84106247649461,TP1_80%,2024-06-24 19:30:00
SUI/USDT,SHORT,0.8642,0.8642,-2.6657558858929447,BE_STOP,2024-06-24 21:15:00
WIF/USDT,SHORT,1.8450000000000002,1.7634224187444476,16.359681539884036,BE_STOP,2024-06-24 22:30:00
DOGE/USDT,SHORT,0.118435,0.1203232656912093,-118.81639576167964,STOP_LOSS,2024-06-25 02:00:00
SOL/USDT,SHORT,134.16899999999998,136.41705977399744,-114.18870886571324,STOP_LOSS,2024-07-06 00:30:00
XRP/USDT,LONG,0.5361,0.5254470015341628,-106.4606874116486,STOP_LOSS,2024-07-13 22:30:00
XRP/USDT,LONG,0.5361,0.5254273612769998,-127.20096828103858,STOP_LOSS,2024-07-13 22:45:00
XRP/USDT,LONG,0.51285,0.5236789707015843,30.37240502808841,TP1_80%,2024-07-14 00:45:00
XRP/USDT,LONG,0.51285,0.5444344978796207,5.868024738599322,TP2_5%,2024-07-16 00:00:00
DOGE/USDT,LONG,0.122295,0.12075656841611444,-61.778537904620165,STOP_LOSS,2024-07-16 06:45:00
BNB/USDT,LONG,560.375,555.2767527250804,-63.21741363100631,STOP_LOSS,2024-07-16 08:30:00
INJ/USDT,LONG,22.5875,22.994425966148633,28.614451791196807,TP1_80%,2024-07-16 10:30:00
XRP/USDT,LONG,0.51285,0.5760189957592414,35.89412243067882,TP3_FULL,2024-07-16 14:30:00
INJ/USDT,LONG,22.5875,23.77436740126685,5.644714072201921,TP2_5%,2024-07-16 15:30:00
INJ/USDT,LONG,22.5875,24.961234802533706,34.50550175423602,TP3_FULL,2024-07-17 00:00:00
BNB/USDT,LONG,572.355,577.7225121092321,33.22827628117939,TP1_80%,2024-07-17 08:30:00
AVAX/USDT,LONG,28.026,28.44402709181076,44.55423928679231,TP1_80%,2024-07-17 13:45:00
BNB/USDT,LONG,572.355,572.355,-2.254732069098234,BE_STOP,2024-07-17 15:45:00
AVAX/USDT,LONG,28.026,28.026,-1.726805022081756,BE_STOP,2024-07-17 15:45:00
INJ/USDT,LONG,25.589,26.25203993761272,32.09641654168404,TP1_80%,2024-07-18 06:45:00
INJ/USDT,LONG,25.589,25.589,-0.7421848109101141,BE_STOP,2024-07-18 14:30:00
INJ/USDT,LONG,25.589,25.03276850711958,-100.71024965675963,STOP_LOSS,2024-07-18 16:00:00
WIF/USDT,LONG,2.2742,2.354701884992402,79.87652250640987,TP1_80%,2024-07-18 20:30:00
WIF/USDT,LONG,2.2742,2.5089971645611726,15.119471362761004,TP2_5%,2024-07-19 06:15:00
WIF/USDT,LONG,2.2742,2.354701884992402,14.88706542481308,BE_STOP,2024-07-19 09:45:00
INJ/USDT,LONG,25.589,26.26361442555802,82.13078182792358,TP1_80%,2024-07-19 14:00:00
INJ/USDT,LONG,25.589,27.55662540787757,15.75919096026676,TP2_5%,2024-07-20 05:00:00
INJ/USDT,LONG,25.589,26.26361442555802,15.27296972298633,BE_STOP,2024-07-20 13:15:00
STX/USDT,LONG,1.8938000000000001,1.8419838751096125,-104.92129402709789,STOP_LOSS,2024-07-22 22:00:00
NEAR/USDT,SHORT,5.375500000000001,5.479315390545831,-102.73048701760898,STOP_LOSS,2024-07-26 01:00:00
APT/USDT,SHORT,6.788,6.848952536891715,-65.27135670597819,STOP_LOSS,2024-07-26 07:15:00
SOL/USDT,LONG,184.2415,182.65236616640604,-53.10360316615734,STOP_LOSS,2024-07-27 15:15:00
BTC/USDT,LONG,68147.3,67746.36746093379,-16.903166415885032,STOP_LOSS,2024-07-27 20:15:00
APT/USDT,LONG,6.992,7.062977853467324,8.034457431043037,TP1_80%,2024-07-27 20:30:00
APT/USDT,LONG,6.992,7.199018739279696,1.7010583349617006,TP2_5%,2024-07-27 21:00:00
APT/USDT,LONG,6.992,7.062977853467324,1.5064607683205693,BE_STOP,2024-07-28 03:00:00
