symbol,side,entry,exit,pnl,reason,time
BANANAS31/USDT,LONG,0.0068375,0.006867,3.5689652987060474,STAGNATION_EXIT,2026-03-08 05:00:00
BULLA/USDT,SHORT,0.025735,0.023621700304633658,114.89222270664493,TP2_33%,2026-03-08 08:30:00
BULLA/USDT,SHORT,0.025735,0.025010440104445825,37.46189921823364,TRAILING_STOP,2026-03-08 13:00:00
LYN/USDT,LONG,0.328245,0.3349467773773539,39.63468356720564,TP1_33%,2026-03-08 14:15:00
LYN/USDT,LONG,0.328245,0.34779185068394886,124.8162282885308,TP2_33%,2026-03-08 14:30:00
LYN/USDT,LONG,0.328245,0.3349467773773539,40.23520907579966,TRAILING_STOP,2026-03-08 16:15:00
PIXEL/USDT,SHORT,0.005169,0.005068606962506791,34.55787595735431,TP1_33%,2026-03-08 22:00:00
PIXEL/USDT,SHORT,0.005169,0.005169,-7.159640332681317,TRAILING_STOP,2026-03-09 00:30:00
HYPE/USDT,LONG,34.1565,34.96196627969609,44.38983383216109,TP1_33%,2026-03-10 08:00:00
HYPE/USDT,LONG,34.1565,34.1565,-7.86920361969395,TRAILING_STOP,2026-03-10 14:00:00
HYPE/USDT,LONG,34.1565,34.92667671115992,35.90905692883082,TP1_33%,2026-03-10 14:45:00
HYPE/USDT,LONG,34.1565,34.1565,-6.331058638354831,TRAILING_STOP,2026-03-10 16:30:00
HYPE/USDT,LONG,34.1565,34.9696014599324,36.34028238236115,TP1_33%,2026-03-11 05:00:00
HYPE/USDT,LONG,34.1565,34.258,3.6039714592016763,STAGNATION_EXIT,2026-03-11 08:15:00
BANANAS31/USDT,LONG,0.0072955,0.007475822206414158,37.20267180248499,TP1_33%,2026-03-11 15:00:00
BANANAS31/USDT,LONG,0.0072955,0.0072955,-5.93845181683051,TRAILING_STOP,2026-03-11 17:00:00
ENSO/USDT,SHORT,1.13495,1.1140571015840957,36.71990943388775,TP1_33%,2026-03-11 19:45:00
ENSO/USDT,SHORT,1.13495,1.13495,-8.520178564343263,TRAILING_STOP,2026-03-12 04:15:00
BULLA/USDT,SHORT,0.008855,0.008582933431641331,38.73446156662737,TP1_33%,2026-03-13 02:30:00
BULLA/USDT,SHORT,0.008855,0.008855,-4.889316371558396,TRAILING_STOP,2026-03-13 04:00:00
VVV/USDT,LONG,6.1645,6.445715676744102,39.96118284296167,TP1_33%,2026-03-13 07:30:00
VVV/USDT,LONG,6.1645,6.98471239050363,121.51637134259455,TP2_33%,2026-03-13 13:15:00
RIVER/USDT,LONG,19.213,20.039176686666686,63.464392718827064,TP1_33%,2026-03-13 18:15:00
SIREN/USDT,LONG,0.5872649999999999,0.6120601890727272,54.04619106765401,TP1_33%,2026-03-13 21:45:00
VVV/USDT,LONG,6.1645,6.445715676744102,40.47398980242574,TRAILING_STOP,2026-03-13 22:15:00
SIREN/USDT,LONG,0.5872649999999999,0.5872649999999999,-4.890968494029786,TRAILING_STOP,2026-03-13 22:30:00
