score,rsi_15m,vol_ratio_15m,dist_ema200_h4,sl_dist_pct,tp_dist_pct,rr,body_ratio,vol_24h_usdt,side,outcome,timestamp,symbol
10.0,65.38377651014562,0.5528475261768543,-0.030180227398090464,0.017837078850791603,0.021404494620949975,1.2000000000000028,0.7156238291494893,16614909101.56638,0,1,2025-11-07 22:00:00,ETH/USDT
9.5,71.14931743888744,3.8318195101769423,-0.009500759869350712,0.017767123645359956,0.021320548374431897,1.1999999999999973,0.6860662701784149,9228880966.40932,0,0,2025-11-09 14:30:00,ETH/USDT
9.5,66.6122777894172,3.531290743416214,0.008965059543894215,0.014068657478041108,0.01688238897364938,1.2000000000000037,0.02133620689655678,10998982947.72306,0,1,2025-11-09 23:00:00,ETH/USDT
8.0,73.07728717471765,1.9432808423919397,0.020753368631618373,0.014692913968172999,0.0176314967618076,1.2000000000000002,0.8525081108060919,11848346806.98451,0,1,2025-11-10 00:30:00,ETH/USDT
9.5,74.71231437216485,2.196360935106759,0.023138595571821224,0.015078341318808032,0.018094009582569664,1.2000000000000017,0.08712613784135045,12549328712.09803,0,1,2025-11-10 01:00:00,ETH/USDT
9.0,75.56143612812303,1.3432128776690473,0.02435089841524978,0.015167953199402067,0.01820154383928248,1.2,0.14769230769231328,12754120274.89986,0,1,2025-11-10 01:15:00,ETH/USDT
8.0,59.56450057042505,1.4943588513602193,0.019155716624501423,0.013146755901363678,0.015776107081636414,1.2,0.48877624909484463,13784702151.89716,0,1,2025-11-10 09:45:00,ETH/USDT
9.0,56.937987093541956,1.6821253872827764,0.006526390018946239,0.014366017016602414,0.017239220419922947,1.2000000000000035,0.25959465286761396,14360126444.995161,0,1,2025-11-11 12:00:00,ETH/USDT
9.0,73.64551650179969,0.8469569333108599,0.005679746965878894,0.014657929365264805,0.01758951523831774,1.1999999999999984,0.5166163141994152,14445252757.95151,0,1,2025-11-12 13:45:00,ETH/USDT
9.0,71.0941406833394,1.3416417958598679,-0.005315361653523048,0.01183200459168179,0.014198405510018174,1.2000000000000022,0.2647475224162394,19448349472.30384,0,1,2025-11-13 06:15:00,ETH/USDT
9.0,71.60746142857734,0.8122330471098481,-0.004370271733820126,0.011453360873055922,0.013744033047667107,1.2000000000000002,0.014914772727275389,19708472497.40896,0,1,2025-11-13 06:45:00,ETH/USDT
9.0,73.3070993956986,0.5962956357251444,-0.001799402130818383,0.011204733522195238,0.013445680226634235,1.1999999999999955,0.19616908850728398,19956979031.79914,0,1,2025-11-13 07:15:00,ETH/USDT
9.0,69.52046566146186,1.2354486516970156,-0.003866786330168828,0.01606293698253842,0.019275524379046075,1.1999999999999982,0.2355014418455737,20199519188.18,0,1,2025-11-13 07:30:00,ETH/USDT
8.5,67.02319088852792,0.6114708215108358,-0.005239416927832632,0.011070022804172614,0.013284027365007087,1.1999999999999955,0.03262736119059619,20320856107.21383,0,1,2025-11-13 08:00:00,ETH/USDT
8.0,59.634457038250176,1.07202768436293,-0.12852864716718537,0.009514984826759174,0.011417981792111067,1.2000000000000062,0.35954323001631155,16218975147.31149,0,1,2025-11-19 10:00:00,ETH/USDT
8.5,73.00861593394421,0.581162351937152,-0.1683518111051475,0.01562924468659146,0.01875509362390975,1.1999999999999997,0.6370274914089386,16929299568.31796,0,1,2025-11-24 19:30:00,ETH/USDT
9.0,76.28566181863958,1.0022416805412797,-0.16324945064579852,0.01570633864418748,0.018847606373024916,1.199999999999996,0.4730405780989431,17223669487.075512,0,1,2025-11-24 20:00:00,ETH/USDT
8.5,37.60635008622467,1.6694600858139352,-0.11652656774048072,0.016389099934390045,0.019666919921268053,1.2,0.6893979754928112,13851726534.35149,0,1,2025-12-05 09:00:00,ETH/USDT
9.0,56.76933681858255,4.435530603951179,-0.11679378066420634,0.018603094964050017,0.022323713956860048,1.2000000000000015,0.6864608076009445,16048873113.35709,0,1,2025-12-05 15:00:00,ETH/USDT
8.5,67.28020115949792,0.8714042466579621,-0.11206833106569122,0.01680065590815604,0.020160787089787278,1.2000000000000017,0.05985634477254494,16078782916.942162,0,1,2025-12-08 10:00:00,ETH/USDT
8.5,66.24740211492394,0.4200505004421248,-0.11237492273607112,0.016683767037529582,0.02002052044503547,1.1999999999999984,0.1542776998597962,16084833874.17267,0,1,2025-12-08 10:15:00,ETH/USDT
